suite,scene,method,budget,d1 false-free rate,d1 false-occupied rate,d2 agreement,d2 unsafe disagreement,n traj,eval row
S-GEO,ss3dm_town01,B0,B100,0.8135,0.0674,0.6900,0.2923,200,ss3dm_town01_clean30k_geo_v1
S-GEO,ss3dm_town01,B5,B50,0.8318,0.0608,0.6850,0.2974,200,ss3dm_town01_B50_geo_v1
S-GEO,ss3dm_town02,B0,B100,0.7733,0.0655,0.6900,0.3005,200,ss3dm_town02_clean30k_geo_v1
S-GEO,ss3dm_town02,B5,B50,0.7892,0.0604,0.6900,0.3005,200,ss3dm_town02_B50_geo_v1
S-GEO,ss3dm_town03,B0,B100,0.8047,0.0743,0.6400,0.2288,200,ss3dm_town03_clean30k_geo_v1
S-GEO,ss3dm_town03,B5,B50,0.8232,0.0661,0.6350,0.2353,200,ss3dm_town03_B50_geo_v1
S-DEV,toy_parking,GT-CAL,B100,0.0019,0.0001,1.0000,0.0000,200,toy_parking_GTmodel_v1
S-DEV,toy_parking,B0,B100,0.5895,0.0305,0.6250,0.0000,200,toy_parking_clean30k_v1
S-DEV,toy_parking,B5,B50,0.5974,0.0296,0.6250,0.0000,200,toy_parking_B50_importance_ft_e1v2
S-DEV,toy_parking,B4,B50,0.5974,0.0296,0.6250,0.0000,200,toy_parking_B50_importance_noft_e1b
S-DEV,toy_parking,B6R,B50,0.6006,0.0290,0.6250,0.0000,200,e2r_toy_parking_B50_v1
S-DEV,toy_parking,B5,B25,0.6149,0.0278,0.6250,0.0000,200,toy_parking_B25_importance_ft_e1v2
S-DEV,toy_parking,B4,B25,0.6149,0.0278,0.6250,0.0000,200,toy_parking_B25_importance_noft_e1b
S-DEV,courtyard,B0,B100,0.6503,0.1053,0.8950,0.0000,200,courtyard_clean30k_v4
S-DEV,courtyard,B5,B50,0.6680,0.0958,0.8950,0.0000,200,courtyard_B50_ft_v4
S-DEV,courtyard,B4,B50,0.6680,0.0958,0.8950,0.0000,200,courtyard_B50_importance_noft_v4
S-DEV,courtyard,B6R,B50,0.6723,0.0940,0.8950,0.0000,200,e2r_courtyard_B50_v1
S-DEV,courtyard,B4,B25,0.7118,0.0764,0.8950,0.0000,200,courtyard_B25_importance_noft_v4
